0,1,2,3,4,5
No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Jeff Bezos,$177 billion,57,United States,Amazon
2,Elon Musk,$151 billion,49,United States,"Tesla, SpaceX"
3,Bernard Arnault & family,$150 billion,72,France,LVMH
4,Bill Gates,$124 billion,65,United States,Microsoft
5,Mark Zuckerberg,$97 billion,36,United States,Meta Platforms
6,Warren Buffett,$96 billion,90,United States,Berkshire Hathaway
7,Larry Ellison,$93 billion,76,United States,Oracle Corporation
8,Larry Page,$91.5 billion,48,United States,Alphabet Inc.
9,Sergey Brin,$89 billion,47,United States,Alphabet Inc.
10,Mukesh Ambani,$84.5 billion,63,India,Reliance Industries
