0,1,2,3,4,5
No.,Name,Net worth (USD),Age,Nationality,Source(s) of wealth
1,Jeff Bezos,$113 billion,56,United States,Amazon
2,Bill Gates,$98 billion,64,United States,Microsoft
3,Bernard Arnault & family,$76 billion,71,France,LVMH
4,Warren Buffett,$67.5 billion,89,United States,Berkshire Hathaway
5,Larry Ellison,$59 billion,75,United States,Oracle Corporation
6,Amancio Ortega,$55.1 billion,84,Spain,"Inditex, Zara"
7,Mark Zuckerberg,$54.7 billion,35,United States,"Facebook, Inc."
8,Jim Walton,$54.6 billion,71,United States,Walmart
9,Alice Walton,$54.4 billion,70,United States,Walmart
10,S. Robson Walton,$54.1 billion,77,United States,Walmart
